idForProcess	language	dependency	weight
6791236	Afrikaans_2.6	cop	0
6791236	Afrikaans_2.6	ccomp	2
6791236	Afrikaans_2.6	flat	4
6791236	Afrikaans_2.6	aux	6
6791236	Afrikaans_2.6	nsubj	8
6791236	Afrikaans_2.6	nmod	10
6791236	Afrikaans_2.6	appos	12
6791236	Afrikaans_2.6	HEAD	14
6791236	Afrikaans_2.6	compound	16
6791236	Afrikaans_2.6	csubj	18
6791236	Afrikaans_2.6	obj	20
6791236	Afrikaans_2.6	advmod	22
6791236	Afrikaans_2.6	amod	24
6791236	Afrikaans_2.6	dep	26
6791236	Afrikaans_2.6	conj	28
6791236	Afrikaans_2.6	obl	30
6791236	Afrikaans_2.6	nummod	32
6791236	Afrikaans_2.6	cc	34
6791236	Afrikaans_2.6	det	36
6791236	Afrikaans_2.6	punct	38
6791236	Afrikaans_2.6	root	40
6791236	Afrikaans_2.6	mark	42
6791236	Afrikaans_2.6	case	44
6791236	Afrikaans_2.6	iobj	46
6791236	Afrikaans_2.6	xcomp	48
574951	Afrikaans_2.6	nummod	0
574951	Afrikaans_2.6	xcomp	2
574951	Afrikaans_2.6	cc	4
574951	Afrikaans_2.6	advmod	6
574951	Afrikaans_2.6	iobj	8
574951	Afrikaans_2.6	obl	10
574951	Afrikaans_2.6	conj	12
574951	Afrikaans_2.6	amod	14
574951	Afrikaans_2.6	nmod	16
574951	Afrikaans_2.6	ccomp	18
574951	Afrikaans_2.6	dep	20
574951	Afrikaans_2.6	obj	22
574951	Afrikaans_2.6	compound	24
574951	Afrikaans_2.6	HEAD	26
574951	Afrikaans_2.6	csubj	28
574951	Afrikaans_2.6	appos	30
574951	Afrikaans_2.6	punct	32
574951	Afrikaans_2.6	det	34
574951	Afrikaans_2.6	mark	36
574951	Afrikaans_2.6	case	38
574951	Afrikaans_2.6	nsubj	40
574951	Afrikaans_2.6	flat	42
574951	Afrikaans_2.6	root	44
574951	Afrikaans_2.6	aux	46
574951	Afrikaans_2.6	cop	48
5548108	Afrikaans_2.6	nummod	0
5548108	Afrikaans_2.6	advmod	2
5548108	Afrikaans_2.6	xcomp	4
5548108	Afrikaans_2.6	cc	6
5548108	Afrikaans_2.6	iobj	8
5548108	Afrikaans_2.6	obl	10
5548108	Afrikaans_2.6	conj	12
5548108	Afrikaans_2.6	amod	14
5548108	Afrikaans_2.6	nmod	16
5548108	Afrikaans_2.6	ccomp	18
5548108	Afrikaans_2.6	dep	20
5548108	Afrikaans_2.6	obj	22
5548108	Afrikaans_2.6	compound	24
5548108	Afrikaans_2.6	HEAD	26
5548108	Afrikaans_2.6	appos	28
5548108	Afrikaans_2.6	mark	30
5548108	Afrikaans_2.6	det	32
5548108	Afrikaans_2.6	csubj	34
5548108	Afrikaans_2.6	case	36
5548108	Afrikaans_2.6	flat	38
5548108	Afrikaans_2.6	punct	40
5548108	Afrikaans_2.6	nsubj	42
5548108	Afrikaans_2.6	aux	44
5548108	Afrikaans_2.6	cop	46
5548108	Afrikaans_2.6	root	48
7026897	Afrikaans_2.6	root	0
7026897	Afrikaans_2.6	advmod	2
7026897	Afrikaans_2.6	iobj	4
7026897	Afrikaans_2.6	xcomp	6
7026897	Afrikaans_2.6	case	8
